iter	Logloss
0	0.6859562548
1	0.6799971182
2	0.6740680163
3	0.6669175353
4	0.6607366634
5	0.6534393407
6	0.647663551
7	0.6428662071
8	0.6375449458
9	0.6328075747
10	0.6289514469
11	0.6259222876
12	0.6224061024
13	0.6183603021
14	0.6110391738
15	0.6057475126
16	0.6039044344
17	0.6025822796
18	0.6015484001
19	0.5972733317
20	0.5965445796
21	0.5943352905
22	0.5932708933
23	0.5911014412
24	0.5878355775
25	0.5869266172
26	0.5853398963
27	0.5850054584
28	0.5847032764
29	0.5842673386
30	0.5833229355
31	0.5831018762
32	0.5793104534
33	0.577718614
34	0.5767022628
35	0.5744487907
36	0.5736027005
37	0.5719934777
38	0.5715342654
39	0.5714416021
40	0.5670166016
41	0.5660931551
42	0.5659223146
43	0.5654860871
44	0.5614909884
45	0.5607430663
46	0.5578364602
47	0.5547765418
48	0.5532601272
49	0.5530674608
50	0.5510329234
51	0.5489535754
52	0.5489341639
53	0.5470388871
54	0.5453455478
55	0.5424823037
56	0.5419730657
57	0.5406706122
58	0.5403058499
59	0.5381694745
60	0.5381606863
61	0.5366718437
62	0.5348169834
63	0.5347273621
64	0.5329726014
65	0.5299367301
66	0.5286369807
67	0.5274238104
68	0.5263611033
69	0.5237393922
70	0.522163198
71	0.5210519139
72	0.5206595312
73	0.5204736251
74	0.520469569
75	0.5170551252
76	0.5154440192
77	0.5139635786
78	0.5130993807
79	0.5130880815
80	0.5130437537
81	0.5130365589
82	0.5128886549
83	0.512160434
84	0.5116735048
85	0.5105388496
86	0.5099757714
87	0.5099699769
88	0.5099013606
89	0.5065564506
90	0.5063362604
91	0.5061599152
92	0.5042759376
93	0.5042666665
94	0.5019592092
95	0.5009160585
96	0.4998627192
97	0.4971550084
98	0.495451384
99	0.4944795053
100	0.4944781533
101	0.4902705905
102	0.4902237035
103	0.4895137835
104	0.4894199613
105	0.4868675908
106	0.4849853998
107	0.4842970643
108	0.4841835891
109	0.4838257802
110	0.4819964638
111	0.4819955464
112	0.4809687168
113	0.4808228891
114	0.4791197475
115	0.4788543122
116	0.4788532499
117	0.4786385645
118	0.4782124773
119	0.4780851919
120	0.4772088256
121	0.4771180938
